,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,feedback,human,highacc
141,5,6,5,6,8,8,5,6,3,5,11,9,12,12,10,10,True,True,False
142,6,9,4,8,7,6,8,9,6,6,8,7,12,12,10,10,True,True,False
143,9,9,5,8,9,7,10,6,7,10,12,7,10,12,10,11,True,True,False
144,9,9,5,6,9,9,9,11,5,7,7,8,10,12,9,11,True,True,False
145,6,9,3,8,10,9,7,10,5,6,8,5,11,11,10,10,True,True,False
146,7,8,3,4,8,9,6,6,6,7,6,5,4,12,5,9,True,True,False
147,6,8,5,8,7,7,6,5,7,9,8,6,10,12,4,9,True,True,False
148,9,5,5,5,7,9,11,7,8,9,11,11,11,13,10,12,False,False,True
149,8,12,8,9,8,8,7,9,10,9,11,10,6,13,11,9,False,False,True
150,6,7,5,7,6,7,7,8,7,4,6,9,12,13,11,11,False,False,True
151,7,6,5,4,10,7,9,10,7,7,8,7,12,12,12,11,False,False,True
152,9,11,8,12,6,8,5,6,7,8,11,8,8,10,9,10,False,False,True
153,8,9,6,8,8,8,6,9,9,9,8,11,12,13,10,12,False,False,True
154,7,6,6,7,9,9,9,10,8,11,9,10,11,12,8,12,False,False,True
155,7,7,5,6,5,6,5,6,6,6,9,6,13,13,8,10,False,False,True
156,8,8,8,6,7,7,8,6,4,5,6,8,12,13,9,11,False,False,True
157,6,6,4,6,11,3,5,5,2,7,5,7,12,11,7,9,False,False,True
158,7,9,5,9,10,10,7,10,7,9,8,8,11,11,9,12,False,False,True
159,7,10,6,7,6,8,8,8,5,7,7,7,9,11,6,7,False,False,True
160,12,12,13,11,8,10,7,9,10,11,11,9,12,13,13,12,False,False,True
161,10,10,9,10,4,6,5,5,7,9,13,10,11,13,11,12,False,False,True
162,4,2,8,6,8,6,8,7,3,4,6,4,11,12,7,9,False,False,True
163,11,13,10,12,11,8,6,9,7,7,10,9,13,13,12,13,False,False,True
164,8,7,5,6,7,9,6,9,5,8,9,6,13,12,11,11,False,False,True
165,8,10,6,7,8,8,5,6,9,7,10,9,12,13,10,10,False,False,True
166,11,10,7,5,8,8,10,6,6,7,8,6,13,12,9,10,False,False,True
167,3,5,5,5,9,7,6,7,5,3,7,10,11,13,12,12,True,True,True
168,11,12,8,7,8,8,5,6,8,11,10,8,13,13,12,12,True,True,True
169,6,6,3,3,13,9,11,13,4,8,5,6,9,12,10,9,True,True,True
170,6,5,6,5,8,8,10,8,2,7,8,7,8,13,10,10,True,True,True
171,12,7,8,9,8,7,5,6,6,6,8,9,10,11,8,10,True,True,True
172,9,9,7,7,12,10,11,12,10,9,8,10,11,13,13,9,True,True,True
173,9,7,7,7,11,9,10,11,9,11,12,9,12,13,11,13,True,True,True
174,8,10,5,6,9,7,8,9,7,8,8,8,13,13,9,10,True,True,True
175,7,8,6,7,13,11,11,12,7,7,10,9,12,13,10,11,True,True,True
176,4,6,6,8,6,5,6,7,5,9,9,7,6,9,7,7,True,True,True
177,10,11,5,11,8,6,9,7,4,8,12,7,13,13,11,12,True,True,True
178,10,11,7,11,12,10,10,11,9,11,11,9,13,13,13,12,True,True,True
179,9,8,9,9,12,9,9,8,5,8,7,10,13,13,11,11,True,True,True
180,13,12,11,11,6,7,4,7,9,9,11,7,13,10,10,11,True,True,True
181,6,8,6,6,12,8,11,12,4,9,7,7,13,13,10,10,True,True,True
182,5,6,5,5,7,9,8,6,5,4,4,6,8,11,8,8,True,True,True
183,5,4,6,4,8,5,7,6,6,4,8,7,10,12,10,9,True,True,True
184,7,6,7,6,13,9,10,12,9,10,7,10,12,13,12,11,True,True,True
185,8,7,4,5,12,11,10,11,6,10,9,11,13,13,12,12,True,False,True
186,9,5,5,6,7,7,7,10,4,7,8,7,10,11,9,9,True,False,True
187,10,10,9,11,6,8,6,7,5,7,10,9,8,13,10,10,True,False,True
188,11,9,8,8,11,9,9,11,8,8,10,12,13,13,13,11,True,False,True
189,10,11,10,8,7,8,6,5,5,9,12,10,12,12,9,11,True,False,True
190,8,5,4,8,11,9,10,9,6,6,8,8,12,13,11,11,True,False,True
191,7,9,6,8,11,9,10,10,5,10,7,6,12,12,9,10,True,False,True
192,9,9,7,5,12,11,9,12,7,7,6,8,11,12,8,9,True,False,True
193,8,11,5,8,13,10,7,10,7,7,8,11,12,13,10,10,True,False,True
194,8,9,6,6,9,6,10,7,9,11,10,9,13,13,10,11,True,False,True
195,12,8,9,10,8,8,7,7,8,6,9,7,10,11,9,10,True,False,True
196,6,11,12,4,7,9,11,8,7,11,9,11,12,12,12,13,True,False,True
197,9,10,10,13,10,8,7,8,9,7,11,8,12,13,12,11,True,False,True
198,6,5,6,7,5,8,8,9,6,6,9,6,8,11,7,10,True,False,True
199,7,7,7,6,8,8,7,10,4,9,8,7,11,12,9,10,True,False,True
200,9,7,3,5,9,6,5,5,6,8,9,9,8,13,8,8,True,False,True
201,6,5,6,8,8,7,9,9,6,7,8,6,12,12,10,11,True,False,True
202,2,4,8,3,8,4,7,4,5,5,3,4,9,9,9,9,True,False,True
203,7,5,5,6,10,11,9,11,5,5,8,6,10,11,10,12,True,False,True
