,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,feedback,human,highacc
190,7,3,4,4,11,11,10,8,5,7,5,8,9,10,8,10,True,False,True
191,7,5,7,6,11,10,11,11,6,8,8,7,7,11,8,10,True,False,True
192,8,4,5,5,10,9,10,9,5,6,8,9,7,10,7,8,True,False,True
193,8,8,4,7,11,10,9,10,5,5,7,6,11,10,6,9,True,False,True
194,6,6,4,5,8,8,9,6,7,10,10,9,13,12,11,11,True,False,True
195,9,5,7,9,3,4,4,4,4,10,9,6,4,6,6,6,True,False,True
196,6,12,9,10,8,8,10,9,9,9,9,12,11,12,12,12,True,False,True
197,9,9,7,9,8,8,7,7,8,8,7,8,11,10,8,8,True,False,True
198,8,5,7,6,6,7,10,7,7,8,7,8,8,12,10,8,True,False,True
199,9,7,5,8,7,9,8,8,3,5,6,7,10,10,9,9,True,False,True
200,3,4,2,1,4,4,3,3,3,6,2,8,5,10,7,6,True,False,True
201,4,4,3,3,7,6,8,8,4,5,4,8,9,10,9,7,True,False,True
202,5,2,2,3,5,8,7,2,3,3,4,7,5,11,8,6,True,False,True
203,6,3,2,5,9,9,11,10,4,3,4,7,7,12,11,12,True,False,True
