,Y_1,Y_2,Y_3,Y_4,Y_5,Y_6,Y_7,Y_8,Y_9,Y_10,Y_11,Y_12,Y_13,Y_14,Y_15,Y_16,feedback,human,highacc
120,8,11,5,10,5,12,5,10,8,13,5,10,4,12,8,11,True,False,False
121,11,13,7,8,10,11,9,5,10,12,6,6,12,10,6,5,True,False,False
122,9,13,12,12,8,13,9,9,9,13,11,8,11,12,10,6,True,False,False
123,6,6,12,5,5,5,7,7,4,7,7,4,3,5,9,3,True,False,False
124,10,9,9,8,12,6,5,11,12,4,5,11,11,8,6,10,True,False,False
125,5,8,10,12,7,9,11,11,9,7,11,10,8,5,8,8,True,False,False
126,11,11,4,5,11,12,7,5,10,8,6,7,10,10,8,5,True,False,False
127,6,3,8,12,5,7,7,12,6,7,5,10,9,9,9,13,True,False,False
128,12,13,8,11,10,13,9,11,7,11,9,8,7,12,8,12,True,False,False
129,7,8,12,9,8,6,12,8,7,8,10,7,7,6,12,8,True,True,False
130,9,5,4,8,7,3,7,6,9,2,5,8,10,9,5,12,True,True,False
131,7,7,9,13,9,6,10,11,10,5,11,11,6,9,11,12,True,True,False
132,6,6,4,5,6,6,3,9,4,8,7,7,7,4,6,10,True,True,False
133,10,9,12,7,9,6,10,12,8,9,12,10,8,6,11,10,True,True,False
134,8,13,10,5,6,12,13,9,6,11,10,6,9,10,12,9,True,True,False
135,6,8,11,12,5,9,13,10,6,7,13,13,4,11,13,11,True,True,False
136,6,5,8,6,7,4,10,9,4,9,7,10,8,7,8,11,True,True,False
137,8,8,13,6,4,7,9,10,6,8,11,4,6,7,12,7,True,True,False
138,8,7,8,10,6,5,4,9,5,7,6,11,6,5,6,13,True,True,False
139,11,9,9,11,11,6,7,11,8,10,9,13,10,7,9,12,True,True,False
140,11,9,12,11,13,9,10,9,12,9,10,12,13,11,11,12,True,True,False
141,6,10,11,6,8,10,3,5,5,12,9,5,8,12,5,6,True,True,False
142,6,12,4,8,9,10,6,7,7,10,9,6,8,12,8,6,True,True,False
143,10,10,9,11,7,7,9,10,6,7,5,12,9,12,8,10,True,True,False
144,7,5,9,10,5,9,11,12,7,6,9,11,8,9,9,9,True,True,False
145,9,10,5,10,8,11,5,10,6,10,6,7,3,11,8,9,True,True,False
146,9,8,6,6,5,7,5,6,12,3,7,9,4,4,6,8,True,True,False
147,5,4,6,8,6,9,8,9,7,10,8,7,7,12,5,6,True,True,False
148,13,5,7,8,10,5,7,9,11,5,11,11,12,9,9,11,False,False,True
149,9,11,12,8,6,10,8,7,13,9,9,8,11,10,8,9,False,False,True
150,4,6,13,7,6,7,12,6,7,8,11,5,9,7,11,7,False,False,True
151,8,9,5,12,7,10,6,12,7,7,4,12,7,10,7,11,False,False,True
152,8,8,10,7,11,6,8,8,12,6,10,8,9,5,9,11,False,False,True
153,12,9,8,6,13,9,9,8,10,8,6,8,12,11,8,9,False,False,True
154,11,10,6,8,12,9,7,11,8,9,7,10,12,9,6,9,False,False,True
155,7,8,5,9,6,10,6,6,5,13,6,6,7,13,5,6,False,False,True
156,8,6,7,12,5,8,7,13,6,8,6,11,4,8,8,9,False,False,True
157,11,12,6,7,3,9,6,5,5,11,6,2,5,7,4,7,False,False,True
158,9,10,9,5,11,10,8,9,12,10,7,9,11,7,8,7,False,False,True
159,6,7,7,8,10,6,5,8,7,9,7,6,7,11,7,8,False,False,True
160,8,12,12,11,9,12,11,9,10,13,12,10,7,13,13,11,False,False,True
161,6,10,10,11,5,9,9,11,5,10,13,13,4,10,7,12,False,False,True
162,8,12,8,3,2,7,7,4,4,11,6,6,6,9,8,4,False,False,True
163,13,10,10,9,13,7,11,8,13,9,12,6,12,7,13,11,False,False,True
164,5,9,12,6,7,9,13,9,8,6,11,5,6,7,11,8,False,False,True
165,10,10,8,8,12,7,6,8,10,9,7,6,13,9,10,5,False,False,True
166,13,10,6,7,9,11,10,6,10,7,8,8,12,5,8,6,False,False,True
167,5,10,7,13,3,5,6,12,5,7,7,12,5,3,9,11,True,True,True
168,8,8,13,8,12,10,12,8,11,8,12,6,7,11,13,5,True,True,True
169,12,13,3,5,10,13,6,6,9,11,3,4,9,9,6,8,True,True,True
170,7,5,8,10,8,6,8,13,7,6,10,8,2,5,8,10,True,True,True
171,6,8,5,12,6,11,6,9,9,10,8,8,8,10,7,7,True,True,True
172,8,7,12,13,9,9,11,13,10,7,12,11,10,9,10,9,True,True,True
173,7,12,10,11,9,11,11,9,7,13,11,12,7,13,9,9,True,True,True
174,13,7,8,10,9,9,8,5,10,9,7,8,13,8,8,6,True,True,True
175,13,7,12,7,11,7,13,10,11,8,10,9,12,6,11,7,True,True,True
176,8,6,9,9,6,6,5,7,4,7,9,6,6,5,7,7,True,True,True
177,13,10,8,8,11,5,6,12,13,11,9,7,12,11,7,4,True,True,True
178,10,12,11,11,7,13,10,9,11,13,10,11,11,13,12,9,True,True,True
179,5,9,13,9,7,9,11,9,10,8,11,8,8,9,13,12,True,True,True
180,12,9,7,10,13,7,6,13,11,11,4,10,11,9,7,11,True,True,True
181,13,9,8,6,13,7,11,8,10,7,12,6,10,4,12,6,True,True,True
182,9,6,5,8,7,4,6,8,6,5,5,11,8,4,5,8,True,True,True
183,6,4,12,8,8,6,9,6,7,4,10,4,5,5,10,7,True,True,True
184,13,10,7,13,9,10,7,12,10,7,6,12,12,9,6,11,True,True,True
185,12,8,11,11,13,5,11,6,13,7,10,10,12,4,12,9,True,False,True
186,7,11,5,10,4,9,5,7,8,9,9,7,7,10,6,7,True,False,True
187,6,9,10,7,8,10,13,10,7,11,10,9,6,10,8,5,True,False,True
188,9,13,8,8,11,13,11,10,11,13,9,12,9,11,8,8,True,False,True
189,12,10,12,6,5,11,11,7,10,8,9,8,9,10,12,5,True,False,True
190,6,4,11,12,8,5,9,11,6,8,9,11,8,8,10,13,True,False,True
191,10,10,10,8,12,10,5,7,12,11,7,9,9,9,6,6,True,False,True
